Number,Action ID,Title,Script,Tier,Status,Risk,Requires Admin,Requires Runtime Input,Mutating,Check Type
72,ENDUSER_NOINPUT_LOGGED_ON_USER_PRESENCE_V1,Logged-on user property presence,scripts/checks/072-logged-on-user-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
73,ENDUSER_NOINPUT_TIMEZONE_PRESENCE_V1,Timezone property presence,scripts/checks/073-timezone-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimPropertySummary
74,ENDUSER_NOINPUT_PAGEFILE_COUNT_V1,Pagefile usage instance count,scripts/checks/074-pagefile-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
75,ENDUSER_NOINPUT_PRINT_QUEUE_COUNT_V1,Printer instance count,scripts/checks/075-print-queue-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
76,ENDUSER_NOINPUT_LOGICAL_DISK_COUNT_V1,Logical disk instance count,scripts/checks/076-logical-disk-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
77,ENDUSER_NOINPUT_VOLUME_COUNT_V1,Volume instance count,scripts/checks/077-volume-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
78,ENDUSER_NOINPUT_SHARE_COUNT_LOCAL_V1,Local share instance count,scripts/checks/078-share-count-local.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
79,ENDUSER_NOINPUT_STARTUP_COMMAND_COUNT_V1,Startup command count,scripts/checks/079-startup-command-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
80,ENDUSER_NOINPUT_USER_PROFILE_COUNT_V1,User profile instance count,scripts/checks/080-user-profile-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
81,ENDUSER_NOINPUT_SERVICE_W32TIME_STATUS_V1,Windows Time service status,scripts/checks/081-service-w32time-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
82,ENDUSER_NOINPUT_SERVICE_DNSCACHE_STATUS_V1,DNS Client service status,scripts/checks/082-service-dnscache-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
83,ENDUSER_NOINPUT_SERVICE_LANMANWORKSTATION_STATUS_V1,Workstation service status,scripts/checks/083-service-lanmanworkstation-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
84,ENDUSER_NOINPUT_SERVICE_LANMANSERVER_STATUS_V1,Server service status,scripts/checks/084-service-lanmanserver-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
85,ENDUSER_NOINPUT_SERVICE_WEBCLIENT_STATUS_V1,WebClient service status,scripts/checks/085-service-webclient-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
86,ENDUSER_NOINPUT_SERVICE_CSCSERVICE_STATUS_V1,Offline Files service status,scripts/checks/086-service-cscservice-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
87,ENDUSER_NOINPUT_SERVICE_WSEARCH_STATUS_V1,Windows Search service status,scripts/checks/087-service-wsearch-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
88,ENDUSER_NOINPUT_SERVICE_BITS_STATUS_V1,BITS service status,scripts/checks/088-service-bits-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
89,ENDUSER_NOINPUT_SERVICE_WUAUSERV_STATUS_V1,Windows Update service status,scripts/checks/089-service-wuauserv-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
90,ENDUSER_NOINPUT_SERVICE_EVENTLOG_STATUS_V1,Windows Event Log service status,scripts/checks/090-service-eventlog-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
91,ENDUSER_NOINPUT_SERVICE_SCHEDULE_STATUS_V1,Task Scheduler service status,scripts/checks/091-service-schedule-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
92,ENDUSER_NOINPUT_SERVICE_DHCP_STATUS_V1,DHCP Client service status,scripts/checks/092-service-dhcp-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
93,ENDUSER_NOINPUT_SERVICE_NLASVC_STATUS_V1,Network Location Awareness service status,scripts/checks/093-service-nlasvc-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
94,ENDUSER_NOINPUT_SERVICE_NETLOGON_STATUS_V1,Netlogon service status,scripts/checks/094-service-netlogon-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
95,ENDUSER_NOINPUT_SERVICE_CRYPTSVC_STATUS_V1,Cryptographic Services status,scripts/checks/095-service-cryptsvc-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
96,ENDUSER_NOINPUT_SERVICE_WINMGMT_STATUS_V1,WMI service status,scripts/checks/096-service-winmgmt-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
97,ENDUSER_NOINPUT_SERVICE_LMHOSTS_STATUS_V1,TCP/IP NetBIOS Helper service status,scripts/checks/097-service-lmhosts-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
98,ENDUSER_NOINPUT_SERVICE_POLICYAGENT_STATUS_V1,IPsec Policy Agent service status,scripts/checks/098-service-policyagent-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
99,ENDUSER_NOINPUT_SERVICE_MPSSVC_STATUS_V1,Windows Firewall service status,scripts/checks/099-service-mpssvc-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
100,ENDUSER_NOINPUT_SERVICE_SENSE_STATUS_V1,Defender for Endpoint/Sense service status,scripts/checks/100-service-sense-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
101,ENDUSER_NOINPUT_SERVICE_WINDEFEND_STATUS_V1,Microsoft Defender Antivirus service status,scripts/checks/101-service-windefend-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
102,ENDUSER_NOINPUT_SERVICE_VSS_STATUS_V1,Volume Shadow Copy service status,scripts/checks/102-service-vss-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
103,ENDUSER_NOINPUT_SERVICE_SWPRV_STATUS_V1,Software Protection Provider service status,scripts/checks/103-service-swprv-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
104,ENDUSER_NOINPUT_SERVICE_STORSVC_STATUS_V1,Storage Service status,scripts/checks/104-service-storsvc-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
105,ENDUSER_NOINPUT_SERVICE_WERSVC_STATUS_V1,Windows Error Reporting service status,scripts/checks/105-service-wersvc-status.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ServiceStatus
106,ENDUSER_NOINPUT_NETWORK_ADAPTER_COUNTS_V1,Network adapter status counts,scripts/checks/106-network-adapter-counts.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,NetworkAdapterSummary
107,ENDUSER_NOINPUT_NETWORK_PROFILE_COUNTS_V1,Network profile category counts,scripts/checks/107-network-profile-counts.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,NetworkProfileSummary
108,ENDUSER_NOINPUT_DNS_CONFIG_COUNTS_V1,DNS config counts with values redacted,scripts/checks/108-dns-config-counts.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,DnsConfigSummary
109,ENDUSER_NOINPUT_SMB_SUMMARY_COUNTS_V1,SMB mapping and connection counts with names redacted,scripts/checks/109-smb-summary-counts.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,SmbSummary
110,ENDUSER_NOINPUT_FIREWALL_PROFILE_COUNTS_V1,Firewall profile enabled counts,scripts/checks/110-firewall-profile-counts.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,FirewallSummary
111,ENDUSER_NOINPUT_COMMAND_PING_AenterpriseILABLE_V1,Ping command availability,scripts/checks/111-command-ping-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
112,ENDUSER_NOINPUT_COMMAND_NSLOOKUP_AenterpriseILABLE_V1,Nslookup command availability,scripts/checks/112-command-nslookup-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
113,ENDUSER_NOINPUT_COMMAND_TRACERT_AenterpriseILABLE_V1,Tracert command availability,scripts/checks/113-command-tracert-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
114,ENDUSER_NOINPUT_COMMAND_GPRESULT_AenterpriseILABLE_V1,GPResult command availability,scripts/checks/114-command-gpresult-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
115,ENDUSER_NOINPUT_COMMAND_KLIST_AenterpriseILABLE_V1,Klist command availability,scripts/checks/115-command-klist-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
116,ENDUSER_NOINPUT_COMMAND_NET_USE_AenterpriseILABLE_V1,Net use command availability,scripts/checks/116-command-net-use-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
117,ENDUSER_NOINPUT_COMMAND_ROBOCOPY_AenterpriseILABLE_V1,Robocopy command availability,scripts/checks/117-command-robocopy-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
118,ENDUSER_NOINPUT_COMMAND_WEVTUTIL_AenterpriseILABLE_V1,Wevtutil command availability,scripts/checks/118-command-wevtutil-available.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CommandAvailable
119,ENDUSER_NOINPUT_PROCESS_ONEDRIVE_COUNT_V1,OneDrive process count,scripts/checks/119-process-onedrive-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ProcessCount
120,ENDUSER_NOINPUT_PROCESS_EXPLORER_COUNT_V1,Explorer process count,scripts/checks/120-process-explorer-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ProcessCount
121,ENDUSER_NOINPUT_PROCESS_TEAMS_COUNT_V1,Teams process count,scripts/checks/121-process-teams-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ProcessCount
122,ENDUSER_NOINPUT_PROCESS_OUTLOOK_COUNT_V1,Outlook process count,scripts/checks/122-process-outlook-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ProcessCount
123,ENDUSER_NOINPUT_PROCESS_EDGE_COUNT_V1,Microsoft Edge process count,scripts/checks/123-process-edge-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,ProcessCount
124,ENDUSER_NOINPUT_PROXY_ENV_PRESENCE_V1,Proxy environment variable presence,scripts/checks/124-proxy-env-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EnvVarPresence
125,ENDUSER_NOINPUT_STORAGE_ENV_PRESENCE_V1,Storage-related environment variable presence,scripts/checks/125-storage-env-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EnvVarPresence
126,ENDUSER_NOINPUT_KNOWN_FOLDER_DESKTOP_V1,Known folder Desktop summary,scripts/checks/126-known-folder-desktop.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
127,ENDUSER_NOINPUT_KNOWN_FOLDER_DOCUMENTS_V1,Known folder Documents summary,scripts/checks/127-known-folder-documents.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
128,ENDUSER_NOINPUT_KNOWN_FOLDER_DOWNLOADS_V1,Known folder Downloads summary,scripts/checks/128-known-folder-downloads.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
129,ENDUSER_NOINPUT_KNOWN_FOLDER_PICTURES_V1,Known folder Pictures summary,scripts/checks/129-known-folder-pictures.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
130,ENDUSER_NOINPUT_KNOWN_FOLDER_MUSIC_V1,Known folder Music summary,scripts/checks/130-known-folder-music.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
131,ENDUSER_NOINPUT_KNOWN_FOLDER_VIDEOS_V1,Known folder Videos summary,scripts/checks/131-known-folder-videos.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
132,ENDUSER_NOINPUT_KNOWN_FOLDER_FAVORITES_V1,Known folder Favorites summary,scripts/checks/132-known-folder-favorites.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,KnownFolderSummary
133,ENDUSER_NOINPUT_DRIVE_ALL_SUMMARY_V1,All logical drive summary,scripts/checks/133-drive-all-summary.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,DriveSummary
134,ENDUSER_NOINPUT_DRIVE_FIXED_SUMMARY_V1,Fixed disk drive summary,scripts/checks/134-drive-fixed-summary.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,DriveSummary
135,ENDUSER_NOINPUT_DRIVE_NETWORK_SUMMARY_V1,Network drive summary,scripts/checks/135-drive-network-summary.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,DriveSummary
136,ENDUSER_NOINPUT_DRIVE_REMOenterpriseBLE_SUMMARY_V1,Removable drive summary,scripts/checks/136-drive-removable-summary.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,DriveSummary
137,ENDUSER_NOINPUT_REGISTRY_LONG_PATHS_PRESENT_V1,Long paths policy presence,scripts/checks/137-registry-long-paths-present.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,RegistryValuePresent
138,ENDUSER_NOINPUT_REGISTRY_OFFLINE_FILES_POLICY_PRESENT_V1,Offline files policy presence,scripts/checks/138-registry-offline-files-policy-present.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,RegistryValuePresent
139,ENDUSER_NOINPUT_REGISTRY_USER_SHELL_FOLDERS_PRESENT_V1,User shell folders key presence,scripts/checks/139-registry-user-shell-folders-present.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,RegistryValuePresent
140,ENDUSER_NOINPUT_REGISTRY_MAPPED_DRIVES_KEY_PRESENT_V1,Network mapped drives key presence,scripts/checks/140-registry-mapped-drives-key-present.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,RegistryValuePresent
141,ENDUSER_NOINPUT_EVIDENCE_ROOT_SUMMARY_V1,Self-check evidence root summary,scripts/checks/141-evidence-root-summary.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EvidenceRootSummary
142,ENDUSER_NOINPUT_POWER_PLAN_PRESENCE_V1,Active power plan presence,scripts/checks/142-power-plan-presence.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,PowerPlanSummary
143,ENDUSER_NOINPUT_CIM_SHADOWCOPY_COUNT_V1,Shadow copy instance count,scripts/checks/143-cim-shadowcopy-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
144,ENDUSER_NOINPUT_CIM_DISKDRIVE_COUNT_V1,Disk drive instance count,scripts/checks/144-cim-diskdrive-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
145,ENDUSER_NOINPUT_CIM_PARTITION_COUNT_V1,Disk partition instance count,scripts/checks/145-cim-partition-count.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,CimCount
146,ENDUSER_NOINPUT_EVENTS_NETWORK_24H_V1,Recent network warning/error count,scripts/checks/146-events-network-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
147,ENDUSER_NOINPUT_EVENTS_DISK_NTFS_24H_V1,Recent disk/NTFS warning/error count,scripts/checks/147-events-disk-ntfs-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
148,ENDUSER_NOINPUT_EVENTS_SMB_24H_V1,Recent SMB/client warning/error count,scripts/checks/148-events-smb-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
149,ENDUSER_NOINPUT_EVENTS_GROUP_POLICY_24H_V1,Recent Group Policy warning/error count,scripts/checks/149-events-group-policy-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
150,ENDUSER_NOINPUT_EVENTS_SERVICE_CONTROL_24H_V1,Recent Service Control Manager warning/error count,scripts/checks/150-events-service-control-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
151,ENDUSER_NOINPUT_EVENTS_WINDOWS_UPDATE_24H_V1,Recent Windows Update warning/error count,scripts/checks/151-events-windows-update-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
152,ENDUSER_NOINPUT_EVENTS_APPLICATION_ERRORS_24H_V1,Recent application warning/error count,scripts/checks/152-events-application-errors-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
153,ENDUSER_NOINPUT_EVENTS_POWERSHELL_24H_V1,Recent PowerShell warning/error count,scripts/checks/153-events-powershell-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
154,ENDUSER_NOINPUT_EVENTS_WMI_24H_V1,Recent WMI warning/error count,scripts/checks/154-events-wmi-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
155,ENDUSER_NOINPUT_EVENTS_ONEDRIVE_7D_V1,Recent OneDrive-related warning/error count,scripts/checks/155-events-onedrive-7d.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
156,ENDUSER_NOINPUT_EVENTS_EXPLORER_7D_V1,Recent Explorer-related warning/error count,scripts/checks/156-events-explorer-7d.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
157,ENDUSER_NOINPUT_EVENTS_SECURITY_AUDIT_COUNT_24H_V1,Recent Security log warning/error count,scripts/checks/157-events-security-audit-count-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
158,ENDUSER_NOINPUT_EVENTS_DEFENDER_24H_V1,Recent Defender warning/error count,scripts/checks/158-events-defender-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
159,ENDUSER_NOINPUT_EVENTS_TASK_SCHEDULER_24H_V1,Recent Task Scheduler warning/error count,scripts/checks/159-events-task-scheduler-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
160,ENDUSER_NOINPUT_EVENTS_TERMINAL_SERVICES_24H_V1,Recent Terminal Services warning/error count,scripts/checks/160-events-terminal-services-24h.ps1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,EventCount
